Clay,StoneDust,OMC,MDD,PI,CBR
81.01,18.99,15.96,1.764,21.43,4.62
52.68,47.32,14.93,1.795,21.98,6.49
63.61,36.39,15.22,1.778,20.29,6.11
69.64,30.36,14.97,1.751,25.02,6.59
92.48,7.52,15.85,1.712,23.9,3.95
92.27,7.73,15.74,1.713,23.53,4.01
97.03,2.97,16.09,1.722,22.6,3.17
57.25,42.75,14.75,1.774,21.83,6.22
69.34,30.66,15.58,1.766,21.17,6.36
65.15,34.85,15.87,1.81,21.65,6.81
98.99,1.01,15.96,1.728,26.82,2.61
50.69,49.31,15.13,1.785,20.54,6.06
59.16,40.84,15.39,1.804,22.48,6.02
89.47,10.53,15.64,1.719,22.28,4.94
91.06,8.94,15.92,1.683,23.18,3.65
91.16,8.84,15.83,1.704,25.34,4.9
84.72,15.28,15.74,1.697,22.07,4.83
73.36,26.64,15.15,1.746,24.28,5.14
78.01,21.99,15.57,1.746,23.26,5.58
85.2,14.8,15.91,1.767,22.19,4.43
69.36,30.64,15.94,1.767,22.58,6.47
93.08,6.92,16.26,1.716,24.53,3.31
85.47,14.53,16.57,1.75,23.61,4.55
81.98,18.02,15.32,1.696,20.74,4.26
77.2,22.8,15.88,1.752,21.46,5.39
61.85,38.15,15.24,1.791,20.96,4.91
89.97,10.03,16.69,1.696,23.08,3.34
75.62,24.38,15.14,1.775,22.89,6.2
70.75,29.25,15.05,1.766,22.1,6.41
97.64,2.36,15.74,1.704,22.06,2.99
68.96,31.04,14.52,1.773,22.29,5.56
91.55,8.45,15.63,1.769,23.99,3.87
96.74,3.26,15.65,1.718,24.28,2.96
53.22,46.78,15.05,1.794,22.02,5.2
52.17,47.83,15.11,1.782,21.67,6.47
59.52,40.48,15.9,1.761,21.73,6.53
84.51,15.49,16.08,1.751,22.74,4.74
94.97,5.03,15.69,1.7,21.51,3.28
65.48,34.52,14.92,1.768,22.1,6.24
78.36,21.64,15.74,1.737,22.63,4.53
93.93,6.07,15.37,1.729,23.75,3.36
74.61,25.39,16.22,1.758,20.67,5.42
98.29,1.71,16.46,1.732,22.41,2.15
54.88,45.12,14.85,1.776,22.12,5.75
86.83,13.17,15.06,1.725,22.93,5.46
66.97,33.03,15.85,1.746,22.47,6.44
84.43,15.57,15.64,1.726,22.84,4.61
73.39,26.61,15.96,1.761,22.16,6.13
72.86,27.14,14.79,1.77,23.16,6.62
90.86,9.14,15.59,1.706,22.6,4.47
52.55,47.45,14.97,1.809,20.77,5.73
62.04,37.96,15.2,1.802,20.73,5.8
51.7,48.3,14.82,1.797,20.23,6.15
54.4,45.6,15.3,1.822,20.53,6.13
70.41,29.59,14.95,1.744,22.13,6.48
54.38,45.62,14.96,1.762,20.24,6.18
95.63,4.37,15.98,1.681,25.04,3.7
90.9,9.1,16.02,1.755,22.11,3.83
97.77,2.23,16.26,1.726,23.45,3.42
84.09,15.91,15.22,1.735,22.23,5.08
80.93,19.07,14.99,1.747,24.29,6.36
86.61,13.39,16.24,1.709,23.17,4.3
58.3,41.7,15.26,1.828,22.35,6.93
82.43,17.57,15.34,1.742,20.87,5.26
85.73,14.27,16.34,1.735,23.22,4.38
72.74,27.26,15.48,1.769,23.12,5.66
92.88,7.12,16.35,1.73,23.46,3.49
59.95,40.05,15.18,1.781,22.48,6.31
96.44,3.56,16.77,1.699,22.95,3.31
48.74,51.26,15.65,1.802,22.29,5.35
61.91,38.09,15.08,1.812,24.06,6.12
89.73,10.27,16.2,1.753,22.73,5.19
99.72,0.28,16.28,1.741,23.27,3.22
60.1,39.9,15.68,1.768,22.9,6.3
64.71,35.29,14.87,1.749,23.41,6.16
62.75,37.25,15.51,1.768,20.81,6.21
60.88,39.12,15.61,1.775,20.8,6.44
96.35,3.65,15.24,1.737,23.24,2.53
81.81,18.19,15.16,1.705,21.04,5.04
94.23,5.77,15.09,1.749,22.34,2.6
